,Name,Status,Native,PopulationCensus2004-04-28,PopulationCensus2014-04-23,PopulationEstimate2022-01-01,Unnamed: 6
254,Korba,Municipality,قربة,52951,59578,65183,→
255,Korbous,Municipality,قربص,3551,3532,4180,→
256,Menzel Bouzelfa,Municipality,منزل بوزلفة,33599,37860,41227,→
257,Menzel Horr,Municipality,منزل حر,7991,8930,9628,→
258,Menzel Temime,Municipality,منزل تميم,51472,56715,61151,→
259,Nabeul,Municipality,نابل,59490,73128,83731,→
260,Sidi Djedidi,Municipality,سيدي الجديدي,22782,14222,15380,→
261,Soliman,Municipality,سليمان,29060,37749,44672,→
262,Somâa,Municipality,الصمعة,7944,8498,9582,→
263,Takelsa,Municipality,تاكلسة,20169,22151,23976,→
264,Tazarka,Municipality,تازركة,7613,9388,10271,→
265,Tazougrane - Boukrim - Zaouiet El Mgaies,Municipality,تزغران بوكريم زاوية المقايز,14111,15322,16138,→
266,Zaouiet Djedidi,Municipality,زاوية الجديدي,11041,11829,12833,→
267,Sfax,Governorate,صفاقس,855256,955421,1024561,→
268,Agareb,Municipality,عقارب,35841,40943,44082,→
269,Bir Ali Ben Khalifa,Municipality,بئر علي بن خليفة,30097,31823,32798,→
270,Chihia,Municipality,الشيحية,23625,27268,30670,→
271,El Achech,Municipality,العشاش,15309,17804,18703,→
272,El Aïn,Municipality,العين,38250,43333,47627,→
273,El Amra,Municipality,العامرة,...,30599,31824,→
274,El Hencha,Municipality,الحنشة,...,32247,34799,→
275,El Nasr,Municipality,النصر,...,16976,18319,→
276,Graïba,Municipality,الغريبة,14647,15776,16563,→
277,Gremda,Municipality,قرمدة,36405,40862,44911,→
278,Hadjeb,Municipality,الحاجب,11578,19455,23760,→
279,Hazeg - Ellouza,Municipality,الحزق - اللوزة,...,18914,20254,→
280,Jebiniana,Municipality,جبنيانة,...,30764,32943,→
281,Kerkennah,Municipality,قرقنة,14400,15501,16395,→
282,Mahrès,Municipality,المحرس,30676,34257,36432,→
283,Menzel Chaker,Municipality,منزل شاكر,18810,19564,20552,→
284,Nadhour - Sidi Ali Ben Abed,Municipality,الناظور - سيدي علي بالعابد,19962,20855,21494,→
285,Ouabed - Khazanet,Municipality,العوابد - الخزانات,27249,34944,38407,→
286,Sakiet Eddaïer,Municipality,ساقية الدائر,39027,44511,48678,→
287,Sakiet Ezzit,Municipality,ساقية الزيت,48856,60244,67759,→
288,Sfax,Municipality,صفاقس,270917,280566,286203,→
289,Skhira,Municipality,الصخيرة,29616,34673,38209,→
290,Thyna,Municipality,طينة,34069,43542,53177,→
291,Sidi Bouzid,Governorate,سيدي بوزيد,395506,429912,458232,→
292,Baten Ghzal,Municipality,باطن الغزال,14098,15507,16515,→
293,Bir El Hafey,Municipality,بئر الحفي,27078,29889,32545,→
294,Cebbala Ouled Asker [Cebalet],Municipality,سبالة,18618,20382,21722,→
295,El Assouad,Municipality,الأسودة,18550,19451,20345,→
296,Essaïda,Municipality,السعيدة,21305,23175,24625,→
297,Faiedh Bennour,Municipality,الفائض بنور,23992,22221,20996,→
298,Jilma,Municipality,جلمة,22763,24732,26320,→
299,Mansoura,Municipality,المنصورة,8719,9658,10452,→
300,Meknassy,Municipality,المكناسي,22617,23789,24901,→
301,Menzel Bouzaiane,Municipality,منزل بوزيان,23668,25321,26927,→
302,Mezzouna,Municipality,المزونة,22839,24766,26337,→
303,Ouled Haffouz,Municipality,أولاد حفوز,19910,19579,19870,→
304,Rahal,Municipality,رحال,6901,8399,9138,→
305,Regueb,Municipality,الرقاب,37471,41823,45318,→
306,Sidi Ali Ben Aoun,Municipality,سيدي علي بن عون,16177,18556,20112,→
307,Sidi Bouzid,Municipality,سيدي بوزيد,71590,81004,88686,→
308,Souk Jedid,Municipality,سوق الجديد,19210,21660,23424,→
309,Siliana,Governorate,سليانة,233985,223087,228842,→
310,Bargou,Municipality,برقو,13823,12482,12199,→
311,Bou Arada,Municipality,بوعرادة,20877,20444,21154,→
312,El Aroussa,Municipality,العروسة,9783,9907,10464,→
313,El Hababsa,Municipality,الحبابسة,9772,7564,7199,→
314,El Krib,Municipality,الكريب,21546,20155,20104,→
315,Gaâfour,Municipality,قعفور,17963,16934,17028,→
316,Kesra,Municipality,كسرى,17763,16404,16315,→
317,Makthar,Municipality,مكثر,31139,29052,29021,→
318,Rouhia,Municipality,الروحية,20219,18387,17501,→
319,Sidi Bou Rouis,Municipality,سيدي بورويس,15712,12618,11338,→
320,Sidi Morched,Municipality,سيدي مرشد,15903,14404,15697,→
321,Siliana,Municipality,سليانة,39485,44736,50822,→
322,Sousse,Governorate,سوسة,544413,674971,749657,→
323,Akouda,Municipality,أكودة,21237,27200,31668,→
324,Bouficha,Municipality,بوفيشة,23581,26763,28254,→
325,Chott Meriem,Municipality,شط مريم,4480,7294,8492,→
326,Enfida,Municipality,النفيضة,27061,30350,32013,→
327,Ezzouhour,Municipality,الزهور,11669,17409,20212,→
328,Grimet - Hicher,Municipality,القريمات هيشر,16365,18985,20025,→
329,Hammam Sousse,Municipality,حمام سوسة,34685,42691,47269,→
330,Hergla,Municipality,هرقلة,7913,9343,9981,→
331,Kalâa Kebira,Municipality,القلعة الكبرى,51196,59132,63008,→
332,Kalâa Seghira,Municipality,القلعة الصغرى,27726,37797,43901,→
333,Kondar,Municipality,كندار,11636,13565,14709,→
334,Ksibet Thrayet,Municipality,قصيبة سوسة والثريات,8762,11312,14908,→
335,Messaadine,Municipality,المسعدين,8444,12930,13719,→
336,M'saken,Municipality,مساكن,76936,84295,89439,→
337,Sidi Bou Ali,Municipality,سيدي بوعلي,17606,19693,20544,→
338,Sidi El Hani,Municipality,سيدي الهاني,11614,13505,14380,→
339,Sousse,Municipality,سوسة,173047,221715,249469,→
340,Zaouiet Sousse,Municipality,زاوية سوسة,10455,20992,27666,→
341,Tataouine,Governorate,تطاوين,143524,149453,151831,→
342,Bir Lahmar,Municipality,بئر الأحمر,9270,8460,7895,→
343,Dehiba,Municipality,ذهيبة,3971,4295,4398,→
344,Ghomrassen,Municipality,غمراسن,18335,15957,14634,→
345,Remada,Municipality,رمادة,9977,10173,10232,→
346,Smâr,Municipality,الصمار,13826,14793,15055,→
347,Tataouine,Municipality,تطاوين,80176,88232,92105,→
348,Tataouine Sud,Municipality,تطاوين الجنوبية,7969,7543,7513,→
349,Tozeur,Governorate,توزر,97526,107912,115881,→
350,Degache,Municipality,دقاش,19714,21590,22960,→
351,El Hamma du Jérid,Municipality,حامة الجريد,6882,6953,7171,→
352,Hazoua,Municipality,حزوة,4162,4700,5264,→
353,Nefta,Municipality,نفطة,20544,21731,22692,→
354,Tamerza,Municipality,تمغزة,6362,6516,6635,→
355,Tozeur,Municipality,توزر,39862,46422,51159,→
356,Tunis,Governorate,تونس,983861,1056247,1075837,→
357,Carthage,Municipality,قرطاج,15922,17010,18581,→
358,La Goulette,Municipality,حلق الوادي,28407,45711,59790,→
359,La Marsa,Municipality,المرسى,77890,92987,100715,→
360,Le Bardo,Municipality,باردو,70244,71961,71232,→
361,Le Kram,Municipality,الكرم,58152,74132,86846,→
362,Sidi Bou Saïd,Municipality,سيدي بوسعيد,4793,7206,7871,→
363,Sidi Hassine,Municipality,سيدي حسين,79381,109672,128240,→
364,Tunis,Municipality,تونس,649072,637568,602560,→
365,Zaghouan,Governorate,زغوان,160963,176945,190391,→
366,Bir Mcherga,Municipality,بئر مشارقة,13352,14604,15872,→
367,Djebel Oust,Municipality,جبل الوسط,8156,9783,10633,→
368,El Amaiem,Municipality,العمايم,13534,11993,12724,→
369,El Fahs,Municipality,الفحص,30144,34456,36557,→
370,Nadhour,Municipality,الناظور,28550,30366,32358,→
371,Saouaf,Municipality,صواف,12095,12681,13284,→
372,Zaghouan,Municipality,زغوان,34367,38445,41609,→
373,Zriba,Municipality,الزريبة,20765,24617,27355,→
374,Tunisie [Tunisia],Republic,تونس,9910872,10982754,11803588,
